Zirport ID,Name,City,Country ,IATA,ICAO,Latitude,Longitude,Altidude,Time Zone,DST,Database time zone,Type of Airport,Source
11102,La Grande/Union County Airport,La Grande,United States,LGD,KLGD,45.29,-118.01,2717,-7,A,\N,airport,OurAirports
11110,Pocono Mountains Municipal Airport,Mount Pocono,United States,MPO,KMPO,41.14,-75.38,1915,-5,A,\N,airport,OurAirports
11111,Quakertown Airport,Quakertown,United States,UKT,KUKT,40.44,-75.38,526,-5,A,\N,airport,OurAirports
11131,Banning Municipal Airport,Banning,United States,BNG,KBNG,33.92,-116.85,2219,-8,A,\N,airport,OurAirports
11134,Karl Stefan Memorial Airport,Norfolk  Nebraska,United States,OFK,KOFK,41.99,-97.44,1573,-6,A,\N,airport,OurAirports
11141,Arlington Municipal Airport,Arlington,United States,\N,KAWO,48.16,-122.16,142,-8,A,\N,airport,OurAirports
11153,Peter O Knight Airport,Tampa,United States,TPF,KTPF,27.92,-82.45,8,-5,U,\N,airport,OurAirports
11243,Montauk Airport,Montauk,United States,MTP,KMTP,41.08,-71.92,6,-4,A,\N,airport,OurAirports
11255,Porter County Municipal Airport,Valparaiso IN,United States,VPZ,KVPZ,41.45,-87.01,770,-5,A,\N,airport,OurAirports
11299,Mason County Airport,Ludington,United States,LDM,KLDM,43.96,-86.41,646,-5,A,\N,airport,OurAirports
11312,Reid-Hillview Airport of Santa Clara County,San Jose,United States,RHV,KRHV,37.33,-121.82,135,8,A,\N,airport,OurAirports
11438,Camarillo Airport,Camarillo - CA,United States,\N,KCMA,34.21,-119.09,77,-8,A,\N,airport,OurAirports
11638,Watsonville Municipal Airport,Watsonville,United States,WVI,KWVI,36.94,-121.79,163,-8,A,\N,airport,OurAirports
11648,Hollister Municipal Airport,Hollister,United States,HLI,KCVH,36.89,-121.41,230,-8,A,\N,airport,OurAirports
11649,Williamsburg Jamestown Airport,Williamsburg,United States,\N,KJGG,37.24,-76.72,49,-5,A,\N,airport,OurAirports
11742,Union County Airport,Marysville,United States,\N,KMRT,40.22,-83.35,1021,-5,A,\N,airport,OurAirports
11814,St Louis Regional Airport,Alton/St Louis,United States,ALN,KALN,38.89,-90.05,544,\N,\N,\N,airport,OurAirports
11815,Chandler Field,Alexandria,United States,AXN,KAXN,45.87,-95.39,1425,\N,\N,\N,airport,OurAirports
11816,Columbus Municipal Airport,Columbus,United States,CLU,KBAK,39.26,-85.9,656,\N,\N,\N,airport,OurAirports
11817,Curtis Field,Brady,United States,BBD,KBBD,31.18,-99.32,1827,\N,\N,\N,airport,OurAirports
11818,Eastern Sierra Regional Airport,Bishop,United States,BIH,KBIH,37.37,-118.36,4124,\N,\N,\N,airport,OurAirports
